X1,X2,X3,X4,X5,X6,Y
0.72,-0.68,1.77,3.41,2.02,-0.31,0
-1.77,-1.26,2.75,3.03,5.42,-1.22,0
-2.1,-0.36,0.77,0.88,2.69,-0.3,0
-1.04,0.73,2.09,2.1,2.99,-2.79,0
0.58,1.35,2.81,6.81,9.33,-1.09,0
0.37,-1.52,1.74,0.59,-2.06,-3.24,1
0.26,-2.23,1.2,-2.77,-5.27,-3.3,1
0.32,0.89,-0.18,-0.93,-3.8,-0.8,1
-1.03,-0.67,2.59,3.01,2.92,-2.64,0
0.6,0.41,0.3,2.39,2.68,2.0,0
-1.05,0.67,2.57,3.87,4.57,-2.12,0
-1.39,1.16,0.73,0.51,0.7,-0.22,0
0.22,-0.22,2.89,2.35,3.88,-3.78,0
-0.88,0.15,0.82,1.63,2.03,0.35,0
-1.49,-0.95,2.2,2.89,3.24,-1.92,0
-0.23,-0.9,3.01,3.48,3.81,-2.66,0
0.53,-0.25,2.02,2.45,3.96,-2.62,0
-0.33,-1.56,3.14,3.77,4.34,-3.75,0
-1.0,-1.87,1.89,0.3,-2.58,-6.22,1
-0.08,-0.38,3.57,5.22,4.39,-2.48,0
1.26,0.96,-0.54,-0.04,-1.13,3.05,1
-0.92,0.49,2.71,3.94,5.14,-3.08,0
0.35,1.62,0.04,3.57,3.52,2.54,0
-0.82,-0.45,3.12,3.39,4.76,-4.45,0
-0.36,0.18,3.54,4.66,6.29,-2.62,0
0.62,0.96,0.39,3.67,4.84,3.93,0
-0.39,1.03,0.54,3.97,5.09,3.05,0
0.33,-0.76,1.91,4.86,7.04,0.81,0
-0.07,0.05,0.09,-0.28,-2.53,1.16,1
0.03,0.08,0.03,0.18,0.58,0.15,1
0.57,-0.71,2.91,3.28,4.03,-2.86,0
1.53,-0.21,0.78,2.45,4.87,2.02,0
-1.4,-0.53,1.98,3.27,4.73,-1.36,0
-0.91,-0.91,2.51,1.6,2.08,-2.0,0
0.32,0.07,1.02,3.12,6.04,2.53,0
3.06,-0.39,1.64,2.48,2.76,-1.19,1
0.63,0.84,0.84,2.26,1.65,-0.42,0
1.8,0.36,0.97,2.14,3.38,-0.7,1
-1.42,0.25,0.79,0.72,-0.17,-1.11,0
-0.22,0.21,1.76,2.55,3.02,-0.55,0
1.84,-0.69,2.51,3.49,3.7,-3.68,0
1.63,0.53,1.84,4.85,6.99,0.94,0
0.08,2.1,-0.46,2.82,4.13,5.27,0
0.24,-0.98,1.06,1.63,2.12,-1.43,0
0.3,0.1,0.71,2.83,1.6,1.32,0
1.04,1.45,0.96,3.71,5.61,-0.92,0
0.72,1.55,0.45,2.7,3.74,1.09,0
0.3,0.69,0.7,4.01,3.25,1.5,0
1.04,2.06,0.27,2.15,2.21,1.96,0
3.23,-0.21,2.23,4.18,4.19,-1.94,1
-0.94,-0.71,2.04,3.57,4.76,-1.19,0
-0.51,1.1,0.34,2.37,1.94,1.59,0
-0.5,0.53,0.81,5.28,7.1,2.52,0
-0.01,0.11,1.69,3.62,4.43,-0.07,0
-0.47,-1.27,3.47,6.88,7.47,-2.35,0
-2.22,0.56,1.4,4.42,4.33,2.64,0
0.52,1.09,-0.09,2.43,3.8,0.48,0
-0.64,-1.61,0.82,-2.33,-3.94,-2.83,1
-1.79,0.73,0.6,1.43,2.42,0.09,0
-1.28,-0.12,2.44,4.89,5.8,2.06,0
-1.19,0.86,-1.32,-2.55,-3.72,0.9,0
-1.36,0.8,2.22,2.17,1.7,-1.44,0
-0.46,-0.98,2.28,4.22,4.38,-3.18,0
1.18,1.17,1.77,3.18,5.37,-1.53,0
0.37,-0.62,1.33,1.55,1.89,-1.27,0
-0.4,0.53,0.96,2.52,2.48,0.34,0
1.51,-0.09,1.69,2.72,2.2,-0.81,0
-0.59,0.58,0.07,0.8,0.5,1.23,0
-0.48,-0.16,2.66,5.95,8.97,-1.24,0
-0.85,-1.22,1.75,0.6,-2.0,-2.48,0
-0.22,-0.74,3.34,4.07,5.22,-2.25,0
0.56,1.0,2.46,4.31,5.67,-0.43,0
-1.53,-1.15,1.04,1.15,2.03,-0.68,0
-0.75,-1.58,1.93,1.24,1.53,-1.48,0
2.19,-0.64,1.48,1.97,3.1,-0.29,0
-1.05,-0.2,1.86,1.5,2.42,-3.51,0
0.31,2.08,-0.71,1.91,3.79,5.18,0
-0.18,-1.28,1.48,1.56,2.89,-1.31,0
-0.01,-0.82,1.78,3.31,3.93,-1.4,0
-0.22,0.49,0.18,1.06,0.19,-0.66,1
-0.69,0.7,0.77,1.96,0.68,0.4,0
0.18,-0.81,2.99,3.24,4.73,-3.99,0
0.16,0.31,0.93,2.9,1.8,0.04,0
0.92,0.55,0.22,1.23,1.02,-0.32,1
2.43,-0.55,3.43,7.09,10.2,-1.0,0
-0.32,-0.72,1.76,0.95,0.38,-1.04,0
1.6,0.52,1.29,3.07,3.11,-0.9,0
1.65,-0.73,2.42,3.37,4.09,-0.84,0
0.25,-1.14,2.16,3.53,4.53,-0.15,0
-1.14,-0.8,0.75,1.1,0.91,-1.03,0
0.17,-0.36,0.43,0.23,-1.48,-0.29,0
-1.5,0.42,1.87,3.55,6.1,0.92,0
-0.17,0.08,3.33,4.49,6.18,-3.39,0
-0.82,0.33,0.09,1.7,0.71,0.39,0
0.77,2.05,2.05,6.22,7.88,-0.22,0
0.16,1.84,-0.11,1.52,0.02,2.81,0
-1.99,-0.09,2.69,4.31,5.67,-1.21,0
0.46,0.13,1.04,2.36,2.43,0.04,0
0.92,1.14,0.66,3.51,3.87,0.9,0
-2.07,-1.16,0.93,0.37,-0.99,-2.13,0
0.84,0.42,0.76,2.29,2.94,-0.81,0
-2.21,1.89,1.22,3.99,6.3,0.27,0
-0.64,0.2,2.23,3.57,5.39,-2.16,0
-0.09,-1.24,1.96,2.99,3.32,-2.9,0
0.18,-1.7,1.71,-0.22,-3.87,-3.01,1
-0.14,-1.11,0.91,-0.49,-0.51,-1.85,0
1.3,0.02,2.15,2.59,3.31,-0.98,0
0.83,-0.77,2.44,3.03,4.3,-2.14,0
0.12,-0.62,2.45,5.53,7.19,2.42,0
0.58,-0.82,1.72,3.1,4.07,-2.24,0
-1.09,-0.59,3.2,4.78,7.55,-1.69,0
-0.05,0.53,0.3,0.28,0.37,-0.65,1
-0.34,-1.4,1.35,-0.14,-2.57,-2.92,1
1.41,-1.17,0.53,-1.99,-3.34,-3.54,1
-0.24,-0.58,1.84,3.43,4.38,-2.13,0
0.69,0.11,1.62,2.72,4.11,-1.76,0
-0.4,0.7,0.71,2.31,2.13,0.6,0
-1.35,-0.82,2.0,0.99,-1.07,-4.32,0
0.51,-0.98,3.63,4.79,6.65,-3.21,0
0.52,0.15,3.01,5.48,6.63,-0.44,0
-0.27,0.15,2.17,3.69,3.94,-2.45,0
-2.55,-0.29,0.2,0.95,1.06,0.96,0
-0.99,0.28,1.07,1.74,1.45,-2.06,0
1.3,0.63,0.69,2.21,1.69,-0.44,1
0.78,-0.14,1.86,4.42,5.46,-1.04,0
0.74,-0.46,2.08,3.14,3.89,-0.68,0
0.6,-0.62,1.72,1.79,3.0,-2.39,0
0.1,0.25,0.93,3.69,3.85,0.95,0
0.19,-0.5,0.14,-0.75,-2.67,-0.4,1
1.29,0.79,0.64,3.37,3.4,0.32,0
-0.96,-0.1,2.19,4.93,6.63,-0.45,0
1.29,-0.45,1.77,2.17,3.3,-2.6,1
0.55,-1.1,3.39,3.76,5.69,-3.76,0
-1.08,-1.09,1.97,2.9,4.02,-1.77,0
0.22,-0.12,1.05,0.98,0.64,-3.01,1
0.51,-0.02,0.99,2.43,4.42,0.69,0
-0.07,0.34,-0.01,0.09,-1.84,-0.87,1
-0.64,-0.28,2.31,2.92,3.6,-1.47,0
-1.32,0.63,-0.1,-0.68,-3.36,-1.32,1
-1.06,-1.4,3.96,4.89,6.28,-3.23,0
-0.38,0.07,0.83,1.25,-0.12,0.11,0
-0.89,1.44,0.2,3.09,2.94,2.31,0
1.09,1.27,0.31,3.01,3.32,0.81,0
0.18,1.85,0.93,2.51,3.94,0.42,0
-1.64,1.55,1.58,4.09,5.4,-0.53,0
0.51,0.89,1.77,2.66,2.66,-1.93,1
0.35,-0.07,3.4,6.21,8.0,-1.35,0
0.13,0.44,0.55,1.6,1.7,-0.9,0
0.43,-0.19,2.68,3.52,4.75,-0.76,0
0.77,1.26,2.1,5.49,7.07,1.34,0
0.72,0.1,1.14,2.48,2.63,-0.39,0
0.95,-1.21,2.64,5.03,5.97,2.36,0
0.84,0.7,1.98,4.35,9.09,-0.47,0
0.72,0.69,-1.16,-0.74,-3.43,2.18,1
0.51,-0.25,1.62,2.53,3.71,-1.46,0
-0.36,-0.54,2.0,3.23,3.47,-1.14,0
0.36,0.76,0.59,3.84,5.56,3.12,0
0.32,2.03,-0.98,0.68,0.43,3.8,0
-1.5,-2.32,1.66,1.89,2.25,-0.67,0
-1.01,0.78,1.51,3.08,4.96,-0.27,0
-1.48,0.11,1.73,4.58,4.88,1.08,0
-0.76,0.16,2.03,3.98,4.5,-0.45,0
0.76,-0.24,1.56,3.78,6.4,-0.62,0
0.28,-0.46,1.66,1.81,1.45,-0.71,0
-0.82,1.15,0.88,3.48,4.86,1.65,0
-0.04,0.54,2.26,4.66,4.63,-1.56,0
-0.04,0.8,1.26,2.12,3.6,-1.29,0
-0.44,-0.04,2.93,3.91,4.97,-3.15,0
-0.81,1.09,-0.97,-0.09,-2.28,1.22,0
-0.19,-1.58,2.14,2.83,3.03,-3.6,0
0.54,1.22,3.49,8.82,10.03,-1.48,0
0.04,-1.46,1.6,2.09,1.99,-1.54,0
0.57,0.65,-0.22,0.02,-0.51,0.52,1
1.61,-0.11,0.93,0.21,-1.62,-3.73,1
0.85,0.51,0.77,1.92,2.88,-0.44,1
0.97,1.2,1.06,3.15,3.25,-0.33,0
-0.64,-0.4,2.31,4.93,5.25,-1.45,0
1.64,-1.14,0.72,1.32,0.68,-1.04,1
0.03,-0.54,1.11,2.31,3.88,0.08,0
0.31,-0.21,2.71,5.5,8.04,0.07,0
-2.37,-0.41,1.38,3.38,3.09,0.97,0
-0.68,-1.09,0.25,-2.75,-4.8,-4.38,1
0.17,-0.01,2.38,4.48,3.78,-1.05,0
-0.88,0.14,0.71,0.23,0.09,-2.53,0
-0.41,-0.85,2.6,4.92,6.97,-2.48,0
-0.57,1.0,1.38,2.95,3.26,0.28,0
1.51,0.96,0.41,1.12,3.02,0.79,1
-0.48,0.06,0.71,0.07,-2.65,-2.17,1
-0.97,-0.51,0.94,0.96,0.09,-1.26,0
0.39,0.47,1.11,3.46,4.72,3.02,0
-0.89,0.3,-0.68,-0.42,-4.72,1.52,0
1.07,-0.96,1.5,0.76,-0.04,-3.39,1
-1.01,-0.95,1.61,2.27,1.88,-2.8,0
0.25,-0.42,1.82,3.72,4.95,-0.81,0
-0.82,0.25,1.45,3.92,4.31,0.51,0
0.15,-0.95,1.61,2.49,2.77,-1.92,0
0.89,0.56,2.09,4.13,3.85,-0.16,0
-0.47,0.77,2.31,4.45,3.07,-0.54,0
1.47,0.02,1.68,2.13,3.33,-2.15,1
1.51,-0.2,1.82,3.29,5.92,-0.58,0
-0.08,1.0,0.19,2.53,0.67,1.55,0
0.29,0.69,1.55,2.25,3.19,-0.15,0
-0.77,-1.17,2.37,4.52,5.95,-0.7,0
1.84,0.08,3.38,5.51,7.02,-2.26,0
1.92,-0.18,1.17,3.18,4.31,-1.61,0
0.71,0.58,1.3,3.05,3.59,0.82,0
1.47,0.8,0.83,4.02,5.18,1.92,0
0.31,-1.59,1.47,-0.03,-1.82,-1.87,0
-0.3,2.06,0.38,3.6,5.23,2.4,0
1.15,-2.4,2.61,-0.74,-2.91,-3.1,1
-1.75,-0.77,4.07,6.86,10.69,-2.31,0
-0.68,2.24,-2.34,-1.28,-2.8,3.41,1
-0.05,0.37,3.38,6.63,7.45,-3.16,0
-1.98,1.56,0.26,2.02,2.7,1.65,0
0.72,-0.55,1.78,3.11,3.26,-0.23,0
0.73,-0.65,0.75,0.8,-0.57,-0.17,1
-0.24,0.39,0.77,2.22,0.88,1.84,0
-0.13,-1.53,1.22,-1.33,-3.03,-4.11,1
-0.73,-0.61,3.01,5.36,6.6,-2.16,0
0.01,0.46,2.31,2.86,4.59,-1.99,0
-0.47,-0.59,2.09,0.17,-1.73,-3.69,0
0.73,0.63,1.48,3.07,1.69,-1.37,0
-0.2,-0.75,1.72,3.14,2.08,-2.51,0
0.89,0.68,1.11,2.61,3.5,-0.99,1
-2.64,1.14,0.91,4.94,5.5,3.33,0
-1.24,-1.43,3.79,5.55,5.52,-1.59,0
-0.16,-0.26,1.93,3.48,4.46,-1.54,0
3.03,-0.92,2.9,5.8,6.26,-0.7,0
-1.34,-0.01,2.06,3.99,4.37,-3.02,0
2.16,-1.28,1.73,2.16,3.81,-1.44,0
0.45,0.68,1.39,3.08,3.98,0.28,0
1.34,-0.03,1.08,1.03,1.7,-2.29,1
-0.54,-0.53,0.77,2.28,3.46,1.12,0
0.48,-0.25,1.91,1.86,3.17,-1.45,0
0.1,0.16,1.85,4.09,5.61,1.28,0
-0.54,-2.39,2.52,0.47,-0.87,-3.24,0
-0.42,-0.79,0.4,0.06,-2.31,-1.62,0
0.01,-1.47,4.09,4.44,6.01,-2.32,0
0.52,-0.25,0.53,-0.1,-1.38,0.62,1
0.44,0.05,0.25,0.3,-1.03,-3.25,1
-0.9,1.53,-0.17,2.2,4.08,3.41,0
0.38,-0.26,0.9,1.81,4.77,-1.03,0
-0.12,-1.56,3.02,4.2,4.09,-2.09,0
-1.75,0.97,2.69,5.43,5.95,0.29,0
1.45,-0.55,1.92,4.33,7.63,-0.47,0
0.37,0.1,1.4,3.57,2.74,-0.58,0
0.44,1.36,1.85,4.5,4.95,-0.38,0
0.73,-0.98,1.74,2.16,3.75,-1.71,0
-0.18,-1.25,2.47,1.61,0.04,-2.24,0
-0.82,0.25,1.58,5.29,6.81,2.33,0
0.1,0.39,0.21,2.33,2.84,2.17,0
-0.45,-0.71,1.43,1.11,2.78,-0.96,0
0.79,-1.68,3.97,6.54,8.91,-4.2,0
-0.69,-0.78,0.08,-1.92,-7.0,-3.12,1
1.03,1.45,1.22,2.82,2.93,-0.56,0
-1.52,-0.67,3.04,5.56,6.67,-1.72,0
0.56,-0.43,2.51,4.78,6.22,-0.41,0
-0.04,-1.11,1.25,0.73,-1.59,-2.71,0
0.76,0.75,2.17,5.13,7.12,1.41,0
0.84,-1.18,3.21,5.03,6.43,-1.88,0
-0.07,-0.94,1.89,1.71,2.83,-4.41,0
0.69,1.0,0.55,1.22,1.65,-0.07,0
0.28,-1.83,3.03,3.19,4.33,-3.3,0
2.06,0.12,1.09,3.1,4.84,0.93,0
-0.41,0.39,0.68,1.8,2.17,-0.5,0
-0.06,1.3,1.39,5.25,6.95,3.26,0
0.65,-0.71,2.32,2.98,2.04,-2.49,0
0.9,-0.86,1.11,2.15,2.81,-1.22,0
-1.1,-0.29,1.2,2.09,3.91,-0.46,0
-1.48,1.23,1.27,2.84,4.67,-1.36,0
1.24,0.9,-0.34,1.76,2.06,3.08,0
-0.47,-0.79,1.88,4.13,5.99,-0.08,0
-0.61,-0.23,1.33,2.51,3.46,0.19,0
-0.13,-1.17,1.91,1.52,-0.92,-1.46,0
-0.82,-1.65,3.82,6.6,9.0,-1.46,0
-1.0,2.12,0.95,4.08,2.97,0.82,0
0.7,-0.73,1.94,3.3,4.26,-1.14,0
-0.5,0.32,0.77,2.83,3.04,2.6,0
0.04,0.2,1.64,6.37,7.1,4.38,0
-1.34,1.15,1.65,3.41,6.09,1.77,0
-0.41,0.58,2.16,3.84,4.67,-1.75,0
0.46,1.7,0.98,4.02,4.15,2.68,0
-1.32,-1.23,0.91,-1.18,-4.79,-2.17,1
-0.29,-1.08,2.7,2.11,3.56,-1.05,0
-0.19,-1.65,3.68,4.05,5.75,-3.37,0
0.63,-1.11,3.74,3.58,3.38,-5.85,0
0.06,-0.85,3.19,2.4,3.06,-2.3,0
-0.72,-2.13,2.86,3.68,3.74,-1.47,0
1.06,-1.9,2.4,3.6,5.44,-4.25,0
-0.52,0.1,1.55,2.42,3.42,-1.78,0
-1.62,-0.42,3.8,5.41,7.13,-1.81,0
0.0,0.82,0.42,0.74,1.43,0.5,0
-0.32,-1.81,2.06,2.04,4.46,-3.48,0
0.45,-0.03,0.98,0.73,1.17,-1.35,1
-0.19,-1.25,1.3,0.57,1.03,-2.43,0
0.37,0.18,1.09,2.43,2.73,-1.44,0
-1.55,-2.4,2.7,0.97,1.25,-4.02,0
-0.4,1.51,-0.59,0.67,-0.16,2.91,0
0.29,-0.41,1.61,4.16,6.8,-0.72,0
-0.69,1.92,0.53,3.48,2.47,2.09,0
0.9,0.46,0.08,-0.58,-2.81,-2.47,1
-1.52,1.09,1.22,5.49,6.96,1.92,0
0.25,1.01,1.24,3.62,6.37,1.08,0
-0.36,0.31,2.52,2.04,2.68,-2.92,0
-0.54,0.02,1.8,1.54,2.78,-3.15,0
0.34,-0.67,1.61,3.5,4.13,-1.24,0
-0.23,0.75,0.95,3.72,4.72,1.46,0
-0.31,-1.43,3.0,3.51,2.93,-3.71,0
1.32,-1.19,3.17,5.01,7.09,-1.76,0
1.53,0.16,1.53,1.7,3.18,-0.85,1
-0.85,-0.41,1.4,2.4,3.07,-0.77,0
-0.2,-0.63,2.02,2.72,2.61,-0.62,0
-1.01,-0.39,0.17,-0.2,-1.18,-1.34,1
-1.14,0.49,0.32,0.45,-0.75,-1.25,0
0.57,-1.06,2.65,4.45,5.57,-3.11,0
0.02,0.98,2.74,4.54,6.74,-3.78,0
0.64,-0.54,2.54,1.95,3.05,-3.44,0
-0.86,0.14,2.53,4.62,4.89,0.26,0
0.81,0.98,3.18,7.9,12.38,0.36,0
0.04,-0.47,2.72,3.01,1.93,-3.2,0
-1.0,0.75,2.64,3.71,4.62,-3.08,0
-0.55,0.24,1.74,3.31,5.16,-0.23,0
1.81,-0.69,2.76,2.94,1.57,-3.3,1
0.43,0.48,1.64,3.33,5.02,-1.42,0
1.04,0.7,1.21,3.81,5.39,0.3,0
-0.08,0.53,0.52,0.25,-2.85,-1.57,1
-1.26,2.19,2.17,5.25,6.45,-1.18,0
1.2,1.39,3.23,5.39,6.23,-0.58,0
0.56,0.27,1.44,3.58,3.41,-0.16,0
0.53,-0.85,0.06,-1.24,-3.37,-1.31,1
0.21,-0.99,1.48,3.39,4.07,0.81,0
0.39,-0.38,2.03,2.73,4.88,-1.88,0
0.51,-1.32,3.85,5.19,5.54,-3.63,0
-1.73,-0.91,2.13,2.36,3.86,-2.92,0
1.71,-0.55,2.08,1.93,3.19,-2.06,0
0.94,-0.74,3.12,3.86,3.87,-2.22,0
-0.65,0.35,0.89,2.65,3.13,1.02,0
0.07,-0.33,1.97,4.78,5.56,-0.2,0
-1.56,-0.63,2.08,2.93,4.8,-0.87,0
0.04,1.26,2.45,3.99,4.91,-2.25,0
0.4,1.09,1.37,4.31,5.13,2.43,0
1.11,-1.21,2.88,2.66,4.28,-2.12,0
0.05,-0.17,1.13,-0.27,-1.48,-4.0,1
-0.2,-1.09,1.76,2.3,3.95,-1.67,0
-0.3,-2.1,1.88,1.97,2.02,-1.03,0
0.04,0.06,0.76,2.5,3.52,1.9,0
-0.28,-0.51,2.47,3.7,3.53,-2.7,0
0.58,1.24,1.6,2.93,6.31,-0.76,0
0.33,-0.26,0.3,0.61,1.14,0.26,1
0.23,0.34,2.8,5.39,8.73,-1.71,0
0.15,-0.01,0.34,-0.92,-4.66,-1.19,1
1.91,-0.46,2.53,4.55,4.5,-1.19,0
-1.08,-0.18,1.7,2.7,4.29,0.23,0
1.01,-0.37,2.46,2.55,4.2,-1.9,0
-1.27,-0.42,1.2,2.57,2.66,-0.7,0
3.22,0.03,2.43,4.0,4.46,-0.26,1
-0.4,0.13,2.11,3.95,3.57,1.27,0
0.0,-0.36,2.31,5.42,7.74,0.58,0
0.26,-1.44,2.24,1.43,2.77,-2.11,0
0.56,-0.07,1.59,3.51,4.55,-0.05,0
-1.01,-0.49,1.23,1.86,2.76,-1.03,0
1.68,-0.23,-0.3,-1.3,-7.57,-0.19,1
-0.12,1.73,-0.3,0.89,0.71,0.84,0
0.5,-0.38,2.94,2.23,0.35,-2.93,0
