age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,poutcome,y
44,technician,divorced,secondary,no,65,no,no,cellular,21,aug,148,4,unknown,0
41,services,divorced,tertiary,no,1583,yes,no,cellular,9,jul,662,1,unknown,1
32,technician,single,tertiary,no,471,no,no,cellular,14,jan,67,1,unknown,0
31,housemaid,single,primary,no,26965,no,no,cellular,21,apr,654,2,unknown,1
34,blue-collar,married,secondary,no,563,no,yes,cellular,5,feb,384,1,failure,0
47,admin.,married,secondary,no,1210,no,no,cellular,26,oct,604,1,failure,1
39,blue-collar,married,unknown,no,1096,no,no,unknown,20,may,246,3,unknown,0
56,management,divorced,tertiary,no,722,no,no,cellular,17,nov,218,2,unknown,0
28,technician,single,secondary,no,2335,no,no,cellular,13,may,624,1,unknown,1
49,blue-collar,married,primary,no,361,yes,no,unknown,16,jun,513,2,unknown,1
30,management,married,tertiary,no,10884,no,no,cellular,4,may,333,2,unknown,1
27,admin.,single,tertiary,no,138,no,no,cellular,15,jun,89,2,unknown,1
45,blue-collar,married,secondary,no,863,yes,no,cellular,14,apr,565,2,unknown,0
27,management,single,tertiary,no,1720,no,no,cellular,15,jun,910,1,success,1
45,entrepreneur,divorced,tertiary,no,1273,yes,yes,unknown,11,jun,197,3,unknown,0
30,management,single,tertiary,no,297,no,no,cellular,8,nov,188,1,unknown,1
78,retired,married,primary,no,2735,no,no,telephone,26,feb,418,2,unknown,0
41,entrepreneur,married,primary,no,0,yes,yes,cellular,18,nov,311,1,unknown,0
42,technician,married,secondary,no,649,yes,no,telephone,31,jul,29,4,unknown,0
28,services,single,secondary,no,126,no,no,cellular,7,jul,321,1,unknown,0
31,admin.,married,secondary,no,1331,yes,no,cellular,11,may,927,2,unknown,0
59,unemployed,divorced,secondary,no,2921,no,no,telephone,3,feb,251,1,unknown,0
52,services,married,secondary,no,659,no,no,cellular,28,jan,390,4,success,1
35,management,single,tertiary,no,2646,no,no,cellular,14,apr,133,8,success,1
21,student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,success,1
36,blue-collar,married,secondary,no,-308,yes,no,cellular,7,jul,279,11,unknown,0
57,entrepreneur,married,tertiary,no,958,no,no,unknown,6,jun,250,2,unknown,0
36,entrepreneur,divorced,tertiary,no,299,yes,no,cellular,18,nov,583,2,unknown,0
76,housemaid,divorced,primary,no,1411,no,no,telephone,15,apr,170,3,unknown,1
45,blue-collar,married,primary,no,789,no,yes,cellular,29,jan,79,1,unknown,0
26,admin.,single,secondary,no,102,no,yes,cellular,8,jul,658,2,unknown,1
36,technician,single,secondary,no,2151,yes,no,cellular,13,may,134,1,failure,0
34,management,single,tertiary,no,197,no,yes,cellular,21,aug,274,4,unknown,0
61,retired,married,secondary,no,2801,yes,yes,cellular,10,mar,239,1,unknown,1
42,blue-collar,married,primary,no,1461,yes,no,cellular,7,may,757,2,failure,1
29,management,married,tertiary,no,1387,yes,no,cellular,18,may,256,2,unknown,1
47,management,married,unknown,no,4189,yes,no,cellular,19,nov,489,3,unknown,1
31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,success,1
41,management,married,tertiary,no,0,yes,no,cellular,18,nov,897,3,unknown,1
41,entrepreneur,married,primary,no,0,no,no,cellular,3,jul,438,2,other,1
31,blue-collar,married,secondary,no,152,yes,yes,cellular,8,jul,831,1,unknown,1
27,services,single,secondary,no,3110,yes,no,unknown,3,jun,356,2,unknown,0
56,management,married,secondary,no,0,no,no,cellular,27,oct,298,1,other,1
36,services,single,secondary,no,590,yes,no,cellular,12,may,170,3,unknown,0
32,management,married,tertiary,no,3809,yes,no,unknown,27,may,50,5,unknown,0
39,management,divorced,tertiary,no,30,no,yes,cellular,3,feb,265,4,unknown,0
57,technician,married,secondary,no,589,yes,no,cellular,11,aug,167,1,failure,1
46,blue-collar,married,secondary,no,1147,yes,no,cellular,20,apr,720,1,unknown,1
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,unknown,1
37,self-employed,divorced,secondary,no,231,no,no,unknown,6,jun,250,1,unknown,0
60,unemployed,married,secondary,no,957,no,no,cellular,8,sep,246,1,success,1
23,student,single,secondary,no,287,no,no,telephone,3,mar,700,3,other,0
47,technician,single,secondary,no,58,no,no,telephone,5,feb,33,1,unknown,0
29,management,single,tertiary,no,2955,no,no,cellular,29,apr,226,2,unknown,1
60,retired,married,primary,no,17413,no,no,unknown,9,jun,200,1,unknown,0
25,student,single,tertiary,no,0,yes,no,cellular,7,may,178,1,unknown,0
33,technician,single,secondary,no,3059,no,yes,cellular,6,aug,482,2,unknown,1
35,technician,married,secondary,no,700,yes,no,unknown,23,may,240,2,unknown,0
31,management,single,tertiary,no,11821,no,no,cellular,18,aug,384,11,unknown,1
59,admin.,married,secondary,no,0,yes,no,cellular,10,jul,982,1,unknown,1
46,admin.,married,secondary,no,974,no,no,cellular,5,jun,174,2,success,1
41,admin.,single,secondary,no,812,no,yes,unknown,11,jun,583,4,unknown,1
36,blue-collar,married,primary,no,1177,no,no,cellular,15,apr,330,1,success,1
41,technician,single,secondary,no,3023,no,no,cellular,31,jul,616,3,unknown,0
65,retired,divorced,unknown,no,300,no,no,cellular,2,aug,245,2,unknown,0
42,blue-collar,married,secondary,no,250,yes,no,cellular,17,apr,42,3,unknown,0
43,admin.,married,secondary,no,132,no,no,cellular,17,mar,220,1,unknown,1
34,technician,married,secondary,no,294,yes,no,cellular,9,dec,265,1,success,1
22,unemployed,single,tertiary,no,993,no,no,cellular,28,jul,115,3,other,1
27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,unknown,1
37,technician,divorced,secondary,no,0,yes,no,cellular,16,jul,46,1,unknown,0
30,admin.,single,tertiary,no,0,yes,no,cellular,4,feb,730,2,unknown,1
32,management,single,tertiary,no,1047,yes,no,cellular,13,aug,203,6,unknown,0
28,blue-collar,married,secondary,no,1021,yes,no,cellular,20,apr,774,2,other,0
35,management,single,tertiary,no,688,no,no,cellular,2,feb,504,1,unknown,0
40,blue-collar,married,secondary,no,5060,no,no,unknown,9,nov,299,1,unknown,1
37,entrepreneur,divorced,secondary,no,175,yes,yes,unknown,13,may,753,6,unknown,1
60,technician,divorced,tertiary,no,1900,yes,no,unknown,29,may,77,3,unknown,0
43,management,married,tertiary,no,489,yes,no,cellular,8,may,130,1,other,0
25,services,single,secondary,no,2311,no,yes,cellular,21,jul,1105,2,unknown,1
35,management,single,tertiary,no,397,yes,no,cellular,17,apr,594,1,unknown,1
35,blue-collar,married,primary,no,22,yes,no,cellular,15,may,1190,2,other,1
43,services,married,secondary,no,2145,no,no,cellular,25,aug,291,2,success,1
55,blue-collar,married,primary,no,137,no,no,telephone,8,jul,377,1,unknown,0
54,management,married,secondary,no,1134,yes,no,cellular,25,jul,1330,3,unknown,1
33,management,married,tertiary,no,1514,no,no,cellular,10,aug,447,1,failure,1
31,admin.,single,secondary,no,523,no,yes,cellular,16,oct,141,1,failure,0
31,management,married,tertiary,no,233,yes,no,cellular,14,may,241,2,failure,0
31,technician,single,secondary,no,2484,yes,no,cellular,7,apr,562,1,unknown,0
60,technician,married,secondary,no,851,no,yes,cellular,18,jul,112,2,unknown,0
48,management,married,tertiary,no,3842,no,no,cellular,1,jun,215,2,unknown,1
47,admin.,married,secondary,no,3480,no,no,cellular,16,apr,443,1,unknown,1
30,blue-collar,married,primary,no,5,no,no,cellular,23,dec,282,1,success,1
38,services,single,secondary,no,1076,no,no,unknown,9,jun,69,6,unknown,0
32,management,single,tertiary,no,3552,no,no,cellular,20,nov,310,3,unknown,0
25,blue-collar,single,secondary,no,509,no,no,cellular,5,mar,418,1,unknown,1
55,blue-collar,married,primary,no,400,no,no,cellular,21,aug,137,4,unknown,0
32,blue-collar,married,secondary,no,476,yes,no,cellular,23,jul,956,9,unknown,1
37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244,1,unknown,1
54,technician,married,tertiary,no,876,no,no,cellular,27,oct,269,3,success,1
85,retired,married,primary,no,12114,no,no,telephone,12,feb,165,2,unknown,1
30,blue-collar,married,primary,no,2607,yes,no,unknown,28,may,158,10,unknown,0
54,retired,married,secondary,no,6449,no,no,unknown,19,jun,487,1,unknown,0
35,self-employed,single,tertiary,no,71,no,no,cellular,15,jun,651,1,unknown,1
40,technician,married,secondary,no,0,no,no,cellular,15,apr,431,2,unknown,0
58,retired,divorced,primary,no,2538,yes,no,cellular,19,nov,680,2,failure,1
46,technician,married,secondary,no,2149,yes,no,cellular,15,apr,282,2,unknown,1
41,services,married,unknown,yes,-1,no,yes,cellular,30,jul,1171,4,unknown,1
34,technician,single,secondary,no,5039,no,no,cellular,20,nov,205,6,unknown,0
50,management,married,tertiary,no,2629,yes,no,telephone,15,jul,59,4,unknown,0
60,technician,married,secondary,no,1740,no,no,cellular,13,mar,296,2,unknown,1
33,services,married,secondary,no,0,yes,no,cellular,14,jul,163,2,unknown,0
32,admin.,married,secondary,no,305,yes,no,unknown,30,may,200,3,unknown,0
47,blue-collar,married,secondary,no,116,yes,no,unknown,8,may,376,2,unknown,0
60,admin.,married,secondary,no,3547,no,no,telephone,15,jun,351,6,unknown,1
25,entrepreneur,married,tertiary,no,37,yes,yes,unknown,8,may,453,2,unknown,0
33,services,divorced,secondary,no,1156,yes,no,cellular,15,may,612,1,failure,0
49,technician,married,secondary,no,905,no,no,cellular,5,jun,1543,1,unknown,1
49,blue-collar,married,primary,no,3,no,yes,cellular,9,jul,1439,6,unknown,1
57,retired,married,primary,no,9367,no,no,cellular,14,may,700,4,success,1
49,management,married,tertiary,no,64,no,no,unknown,11,jun,586,1,unknown,1
29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,unknown,1
33,self-employed,married,secondary,no,409,no,no,cellular,8,sep,165,1,success,1
28,admin.,single,secondary,no,251,yes,no,unknown,6,may,178,2,unknown,0
31,services,single,secondary,no,124,yes,no,unknown,3,jun,154,4,unknown,0
28,technician,married,secondary,no,487,yes,no,unknown,13,may,176,4,unknown,0
71,retired,divorced,tertiary,yes,1236,yes,no,cellular,14,sep,335,4,unknown,1
38,admin.,single,secondary,no,2470,no,no,telephone,31,oct,227,1,unknown,1
26,unemployed,single,tertiary,no,814,no,no,cellular,28,jan,1387,1,unknown,1
32,technician,single,tertiary,no,705,no,no,cellular,17,jun,544,1,unknown,1
44,unemployed,single,tertiary,no,7822,yes,no,telephone,2,feb,20,1,unknown,0
34,management,single,tertiary,no,5086,no,no,cellular,25,may,213,4,unknown,1
25,blue-collar,single,secondary,no,1857,yes,no,cellular,13,apr,295,4,success,1
40,self-employed,married,secondary,no,1216,yes,no,cellular,18,nov,52,1,unknown,0
36,services,single,secondary,no,5315,yes,no,cellular,3,feb,43,4,unknown,0
44,management,single,secondary,no,813,no,no,cellular,26,aug,358,2,unknown,0
74,retired,married,primary,no,0,no,no,telephone,13,aug,562,2,unknown,1
41,admin.,married,secondary,no,-5,yes,no,cellular,29,jul,38,17,unknown,0
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,unknown,1
79,retired,married,secondary,no,8304,no,no,cellular,9,dec,456,2,success,1
31,management,married,tertiary,no,-513,no,yes,cellular,7,jul,124,1,unknown,0
33,admin.,married,secondary,no,393,yes,no,unknown,28,may,383,1,unknown,0
33,services,married,tertiary,no,546,yes,yes,cellular,3,feb,54,2,failure,0
52,management,married,tertiary,no,4675,no,no,cellular,12,feb,181,3,unknown,1
34,management,single,tertiary,no,-292,yes,no,cellular,19,aug,181,6,unknown,0
41,management,married,tertiary,no,254,no,no,cellular,9,jun,183,2,failure,1
30,technician,married,secondary,no,-306,yes,yes,cellular,18,nov,372,1,failure,0
44,management,married,tertiary,no,0,no,no,cellular,26,aug,130,4,unknown,0
37,technician,divorced,secondary,no,630,yes,no,cellular,20,apr,28,2,unknown,0
50,self-employed,married,secondary,no,306,no,no,unknown,19,jun,37,1,unknown,0
49,services,married,secondary,no,220,yes,no,cellular,28,jul,93,11,unknown,0
30,services,married,secondary,no,5,no,yes,cellular,10,jul,829,5,unknown,1
48,services,married,secondary,no,125,no,no,cellular,14,aug,89,7,unknown,0
32,technician,married,tertiary,no,15,no,no,cellular,14,may,226,1,failure,0
73,retired,married,primary,no,279,no,no,cellular,28,jan,399,3,unknown,1
42,unknown,married,secondary,no,703,yes,no,cellular,10,jul,210,1,unknown,0
63,entrepreneur,married,secondary,no,3904,no,no,telephone,4,aug,250,2,success,1
37,management,divorced,tertiary,no,0,yes,no,cellular,6,aug,99,5,unknown,0
31,self-employed,single,tertiary,no,1657,yes,yes,cellular,28,jan,872,1,unknown,1
31,technician,single,secondary,no,1771,yes,no,unknown,30,may,81,2,unknown,0
24,services,single,secondary,no,14,yes,no,cellular,7,may,241,1,unknown,0
35,management,married,tertiary,no,802,yes,no,cellular,6,may,686,2,unknown,1
36,admin.,single,secondary,no,-17,yes,no,unknown,5,jun,159,2,unknown,0
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,unknown,1
27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,2,unknown,1
29,admin.,married,tertiary,no,238,no,no,cellular,11,aug,97,1,success,0
73,retired,married,primary,no,796,no,no,cellular,23,oct,427,1,failure,1
35,unemployed,single,secondary,yes,-126,no,no,cellular,19,nov,168,1,unknown,0
30,management,single,tertiary,no,536,no,no,cellular,15,oct,244,1,success,1
39,technician,married,secondary,no,394,no,no,cellular,11,aug,218,2,unknown,0
34,admin.,married,secondary,no,124,yes,no,telephone,14,may,604,4,other,1
35,blue-collar,married,primary,no,602,yes,no,cellular,14,may,467,6,unknown,0
54,management,married,tertiary,no,534,no,no,cellular,1,jun,177,2,unknown,1
54,management,married,tertiary,no,8295,no,no,cellular,5,jun,207,1,unknown,1
78,retired,divorced,secondary,no,3219,no,no,cellular,24,feb,151,1,unknown,1
22,services,single,secondary,no,129,no,no,cellular,15,apr,218,2,success,1
32,management,single,tertiary,no,1831,yes,no,cellular,20,apr,86,2,unknown,0
47,management,divorced,tertiary,no,12026,yes,no,telephone,27,oct,251,1,unknown,1
27,unknown,single,unknown,no,326,no,no,cellular,22,feb,326,1,unknown,1
32,blue-collar,married,secondary,no,489,yes,no,unknown,20,may,212,1,unknown,0
28,management,single,tertiary,no,6791,no,no,telephone,9,aug,361,1,failure,0
56,blue-collar,married,secondary,no,25,yes,no,unknown,19,may,264,1,unknown,0
54,technician,divorced,secondary,no,859,no,yes,cellular,21,jul,710,1,unknown,1
38,housemaid,divorced,secondary,no,70,no,no,cellular,1,jun,263,1,unknown,1
24,student,single,secondary,no,597,yes,no,cellular,20,apr,943,3,unknown,1
29,technician,single,secondary,no,674,no,no,cellular,17,apr,170,5,unknown,1
41,technician,single,tertiary,no,1646,yes,no,cellular,5,aug,172,3,success,1
46,services,married,secondary,no,4,no,no,cellular,30,apr,268,1,other,1
34,admin.,married,tertiary,no,142,yes,no,cellular,13,may,459,1,unknown,1
62,unemployed,married,primary,no,532,no,no,cellular,31,aug,298,2,other,0
30,blue-collar,single,secondary,no,155,yes,yes,cellular,9,jul,1426,3,unknown,1
34,blue-collar,married,secondary,no,261,yes,no,cellular,3,feb,88,5,failure,0
26,blue-collar,single,secondary,no,3145,no,no,cellular,28,dec,1141,1,other,1
30,admin.,single,secondary,no,98,yes,no,cellular,23,jul,100,5,unknown,0
40,technician,married,secondary,no,286,no,no,cellular,30,jul,106,4,unknown,0
50,technician,married,secondary,no,3370,no,no,cellular,21,aug,531,2,success,1
59,housemaid,married,primary,no,1100,no,no,cellular,18,aug,147,10,unknown,0
37,management,single,tertiary,no,240,no,no,unknown,5,jun,1123,1,unknown,1
30,blue-collar,single,secondary,no,1598,yes,no,cellular,10,jul,634,1,unknown,1
40,blue-collar,married,primary,no,1841,yes,no,cellular,15,may,880,4,unknown,1
37,blue-collar,single,unknown,no,2188,no,no,unknown,16,may,193,8,unknown,0
46,admin.,divorced,secondary,no,2232,no,no,cellular,13,feb,121,1,unknown,1
50,admin.,married,secondary,no,3608,yes,no,cellular,13,nov,176,2,success,1
28,blue-collar,single,secondary,no,2806,no,no,cellular,13,oct,285,1,other,0
28,services,single,secondary,no,1736,yes,no,unknown,29,may,139,3,unknown,0
37,management,married,tertiary,no,4436,no,no,cellular,13,aug,846,5,unknown,1
75,retired,married,tertiary,no,2991,no,no,cellular,22,apr,240,1,unknown,1
30,admin.,single,secondary,no,270,no,no,cellular,9,feb,123,1,unknown,1
58,admin.,married,secondary,no,92,yes,no,unknown,27,may,180,1,unknown,0
26,services,single,secondary,no,-224,yes,yes,unknown,3,jun,189,1,unknown,0
28,management,divorced,tertiary,no,229,yes,no,cellular,9,apr,1042,2,other,1
37,management,married,tertiary,no,1698,yes,no,unknown,6,jun,95,2,unknown,0
40,unemployed,married,primary,no,1908,yes,no,cellular,5,feb,1661,2,unknown,1
59,management,married,tertiary,no,123,yes,no,cellular,30,jul,70,6,unknown,0
31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,unknown,0
61,housemaid,married,primary,no,175,no,no,telephone,3,dec,237,1,unknown,0
46,management,divorced,tertiary,no,4917,yes,yes,cellular,31,jul,5,2,unknown,0
47,management,married,tertiary,no,2306,no,no,telephone,6,aug,239,4,unknown,1
44,blue-collar,married,secondary,no,1343,yes,yes,cellular,8,may,414,2,failure,0
49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,unknown,1
28,technician,single,secondary,no,113,no,no,cellular,13,aug,204,3,failure,1
51,blue-collar,married,secondary,no,2964,yes,no,cellular,16,apr,177,1,unknown,0
40,entrepreneur,married,secondary,no,6403,no,no,cellular,22,sep,208,2,unknown,1
40,admin.,single,secondary,no,985,yes,no,cellular,4,jun,592,3,failure,1
32,blue-collar,single,secondary,no,4339,yes,yes,cellular,27,may,76,2,unknown,0
39,technician,married,secondary,no,504,yes,no,unknown,12,may,495,1,unknown,0
26,management,single,tertiary,no,45,no,no,cellular,10,jul,1187,3,unknown,1
39,management,single,tertiary,no,1509,no,no,cellular,11,nov,248,1,unknown,0
73,retired,married,secondary,no,1292,no,no,cellular,3,apr,420,1,unknown,0
75,retired,divorced,tertiary,no,3810,yes,no,cellular,16,nov,262,1,failure,1
32,management,single,secondary,no,3829,no,yes,cellular,20,nov,267,1,unknown,0
51,blue-collar,married,secondary,no,0,no,no,cellular,18,nov,73,1,unknown,0
35,management,married,secondary,no,616,no,yes,cellular,7,aug,92,2,unknown,0
33,management,married,tertiary,no,113,yes,no,unknown,5,jun,101,11,unknown,0
34,blue-collar,single,secondary,no,855,yes,no,cellular,16,jul,578,1,unknown,1
34,unknown,married,secondary,no,1434,no,no,cellular,21,nov,50,2,unknown,0
37,blue-collar,married,secondary,no,1330,no,no,cellular,30,apr,390,1,unknown,1
38,admin.,divorced,secondary,no,930,yes,no,cellular,5,may,46,1,unknown,0
38,services,married,secondary,no,780,yes,no,cellular,13,may,262,1,failure,0
44,management,married,tertiary,no,332,yes,no,cellular,23,jul,497,5,unknown,0
35,management,married,tertiary,no,284,no,yes,cellular,6,aug,258,2,unknown,0
44,technician,married,secondary,no,-1317,yes,no,cellular,2,feb,371,1,unknown,0
41,unemployed,married,tertiary,no,28,yes,no,cellular,4,feb,358,2,unknown,0
79,retired,married,secondary,no,2661,no,no,cellular,10,nov,254,5,unknown,1
45,management,single,tertiary,no,1269,no,no,unknown,20,jun,55,7,unknown,0
24,student,single,secondary,no,3176,no,no,cellular,13,jan,108,2,unknown,1
33,admin.,divorced,secondary,no,961,no,no,cellular,30,jan,308,2,unknown,0
34,blue-collar,married,primary,no,363,yes,no,cellular,18,may,98,5,unknown,0
53,entrepreneur,married,tertiary,no,2289,yes,yes,cellular,17,nov,183,1,unknown,0
27,services,married,primary,no,921,no,no,cellular,2,feb,141,1,unknown,0
32,blue-collar,married,secondary,no,2526,yes,no,unknown,20,jun,25,8,unknown,0
49,technician,married,tertiary,no,3726,no,no,cellular,5,aug,875,2,unknown,1
31,blue-collar,single,secondary,no,-343,no,yes,cellular,28,jul,120,4,unknown,0
29,technician,single,secondary,no,142,yes,yes,unknown,20,jun,312,2,unknown,0
43,blue-collar,married,primary,no,0,yes,no,unknown,20,may,592,1,unknown,0
51,blue-collar,married,primary,no,0,yes,yes,cellular,25,jul,946,3,unknown,1
35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,unknown,1
45,management,married,unknown,no,9051,yes,no,unknown,19,may,124,63,unknown,0
41,blue-collar,married,primary,no,-97,yes,no,unknown,8,may,260,5,unknown,0
31,services,single,secondary,no,13,no,yes,cellular,6,feb,1019,2,unknown,1
30,technician,single,secondary,no,-522,yes,yes,cellular,5,may,670,2,failure,1
57,management,married,tertiary,no,-92,yes,yes,unknown,20,jun,1617,1,unknown,1
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,unknown,1
39,blue-collar,married,secondary,no,1165,yes,no,cellular,20,apr,354,1,unknown,0
40,technician,married,tertiary,no,677,yes,no,cellular,15,apr,110,3,unknown,0
42,management,married,tertiary,no,981,yes,no,cellular,17,nov,276,1,unknown,0
32,technician,single,tertiary,no,539,yes,yes,unknown,23,may,281,2,unknown,0
51,admin.,married,secondary,no,3025,no,no,cellular,7,may,476,1,other,1
29,unemployed,single,primary,no,1374,no,no,cellular,17,nov,309,3,success,1
31,technician,married,tertiary,no,1570,yes,no,cellular,8,mar,277,4,failure,1
38,blue-collar,single,secondary,no,0,yes,no,cellular,12,may,84,3,unknown,0
27,technician,married,secondary,no,267,yes,no,cellular,18,may,166,4,unknown,0
31,services,married,secondary,no,395,no,no,cellular,25,jul,174,3,unknown,0
46,management,married,tertiary,no,144,no,no,cellular,22,aug,79,4,unknown,0
29,student,single,secondary,no,1377,yes,no,cellular,3,aug,248,1,success,1
35,technician,married,tertiary,no,1526,yes,no,cellular,2,feb,236,2,failure,0
34,blue-collar,married,secondary,no,243,yes,no,cellular,18,may,507,1,unknown,1
37,management,single,tertiary,no,-533,no,no,cellular,26,aug,234,4,unknown,0
57,blue-collar,married,secondary,no,2192,no,no,unknown,15,may,208,2,unknown,0
36,unemployed,married,secondary,no,1766,no,no,unknown,11,jun,595,2,unknown,1
43,admin.,divorced,secondary,no,729,yes,no,unknown,30,may,668,2,unknown,0
39,management,married,tertiary,no,218,no,no,cellular,19,aug,97,9,unknown,0
43,management,single,tertiary,no,11891,no,no,cellular,4,dec,821,5,success,1
31,technician,married,tertiary,no,2951,yes,no,cellular,17,jul,115,1,unknown,0
40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,other,0
35,entrepreneur,married,secondary,no,2436,no,yes,cellular,14,jul,1397,3,unknown,1
42,management,divorced,secondary,no,830,yes,no,unknown,19,may,112,1,unknown,0
37,management,married,tertiary,no,3723,no,no,cellular,22,may,354,1,unknown,1
51,housemaid,married,tertiary,no,3122,yes,no,unknown,30,may,33,2,unknown,0
51,blue-collar,married,secondary,no,955,no,yes,cellular,17,dec,221,3,unknown,1
46,housemaid,married,primary,no,312,yes,yes,cellular,25,jul,137,7,unknown,0
34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,unknown,1
50,management,married,tertiary,no,253,no,no,cellular,28,may,513,9,unknown,1
32,technician,single,secondary,no,40,no,no,cellular,8,aug,419,2,unknown,1
46,technician,single,secondary,no,401,no,no,unknown,19,aug,69,2,unknown,0
34,management,married,tertiary,no,4170,yes,no,unknown,21,may,935,1,unknown,0
79,retired,divorced,primary,no,79,no,no,cellular,9,oct,1106,2,unknown,1
34,unemployed,married,secondary,no,-16,yes,no,cellular,15,may,212,3,other,0
30,technician,single,tertiary,no,-111,no,no,unknown,2,jun,266,2,unknown,0
62,management,married,tertiary,no,0,no,no,cellular,3,sep,299,1,unknown,1
38,technician,single,secondary,no,1711,no,no,telephone,30,sep,234,1,unknown,1
26,technician,single,secondary,no,1231,yes,no,cellular,4,sep,230,1,success,1
64,retired,divorced,primary,no,1840,no,no,cellular,25,nov,237,1,other,0
44,technician,married,tertiary,no,564,yes,no,cellular,13,may,88,2,unknown,0
38,technician,divorced,secondary,no,902,yes,no,cellular,3,feb,650,1,unknown,1
29,admin.,single,secondary,yes,-95,yes,no,unknown,17,jun,269,3,unknown,0
34,blue-collar,married,unknown,no,11,yes,no,cellular,8,apr,233,1,unknown,0
69,technician,married,secondary,no,9064,no,no,cellular,7,aug,714,1,unknown,1
36,technician,married,unknown,no,756,no,no,cellular,11,jul,396,3,unknown,0
45,admin.,single,secondary,no,946,yes,no,cellular,13,apr,754,3,failure,0
39,management,married,tertiary,no,0,no,no,cellular,30,apr,342,3,other,1
57,housemaid,married,tertiary,no,2326,no,no,cellular,28,oct,207,1,success,1
26,admin.,married,secondary,no,3160,yes,no,unknown,27,may,154,1,unknown,0
32,management,married,tertiary,no,905,no,no,cellular,12,feb,666,4,unknown,1
38,admin.,married,tertiary,no,4297,no,no,cellular,7,aug,206,2,unknown,1
44,management,married,tertiary,no,1036,no,no,cellular,25,sep,491,1,unknown,0
27,management,single,tertiary,no,377,no,no,cellular,21,aug,171,3,failure,0
23,student,single,secondary,no,431,no,no,cellular,13,aug,496,2,unknown,1
38,management,married,tertiary,no,3228,no,no,cellular,27,aug,123,8,unknown,0
31,management,married,tertiary,no,1331,no,no,unknown,5,nov,268,1,unknown,1
52,admin.,married,secondary,no,7742,no,no,cellular,11,aug,149,3,unknown,0
60,retired,divorced,secondary,no,1382,no,no,cellular,30,jul,112,10,unknown,0
27,blue-collar,single,primary,no,3955,yes,no,unknown,28,may,205,3,unknown,0
33,management,married,tertiary,no,1808,no,no,cellular,28,dec,250,3,unknown,1
